
iter 0: loss 6.9883, time 10253.51ms, mfu -100.00%
iter 1: loss 3.9601, time 1169.66ms, mfu -100.00%
iter 2: loss 5.4267, time 1186.67ms, mfu -100.00%
iter 3: loss 3.9035, time 1180.97ms, mfu -100.00%
iter 4: loss 3.5196, time 1181.61ms, mfu -100.00%
iter 5: loss 3.3514, time 1179.84ms, mfu 5.55%
iter 6: loss 3.1165, time 1177.86ms, mfu 5.55%
iter 7: loss 3.0441, time 1174.99ms, mfu 5.56%
iter 8: loss 2.9844, time 1184.21ms, mfu 5.55%
iter 9: loss 2.9590, time 1183.65ms, mfu 5.55%
iter 10: loss 2.9375, time 1183.41ms, mfu 5.55%
iter 11: loss 2.8920, time 1184.77ms, mfu 5.55%
iter 12: loss 2.8861, time 1184.82ms, mfu 5.55%
iter 13: loss 2.8936, time 1184.30ms, mfu 5.54%
iter 14: loss 2.9401, time 1183.13ms, mfu 5.54%
iter 15: loss 2.8664, time 1187.06ms, mfu 5.54%
iter 16: loss 2.8733, time 1187.60ms, mfu 5.54%
iter 17: loss 2.9205, time 1183.79ms, mfu 5.54%
iter 18: loss 2.8572, time 1188.21ms, mfu 5.54%
iter 19: loss 2.8410, time 1181.44ms, mfu 5.54%
iter 20: loss 2.9282, time 1185.49ms, mfu 5.54%
iter 21: loss 2.8910, time 1183.89ms, mfu 5.53%
iter 22: loss 2.8516, time 1184.89ms, mfu 5.53%
iter 23: loss 2.8566, time 1189.53ms, mfu 5.53%
iter 24: loss 2.8372, time 1188.70ms, mfu 5.53%
iter 25: loss 2.8223, time 1187.53ms, mfu 5.53%
iter 26: loss 2.8476, time 1190.96ms, mfu 5.53%
iter 27: loss 2.8460, time 1188.68ms, mfu 5.52%
iter 28: loss 2.8374, time 1187.72ms, mfu 5.52%
iter 29: loss 2.8676, time 1185.51ms, mfu 5.52%
iter 30: loss 2.8908, time 1189.32ms, mfu 5.52%
iter 31: loss 2.8394, time 1187.36ms, mfu 5.52%
iter 32: loss 2.8427, time 1188.74ms, mfu 5.52%
iter 33: loss 2.8832, time 1185.67ms, mfu 5.52%
iter 34: loss 2.8414, time 1188.06ms, mfu 5.52%
iter 35: loss 2.8256, time 1188.04ms, mfu 5.52%
iter 36: loss 2.8702, time 1190.75ms, mfu 5.52%
iter 37: loss 2.8043, time 1190.80ms, mfu 5.52%
iter 38: loss 2.8331, time 1186.69ms, mfu 5.52%
iter 39: loss 2.8140, time 1186.17ms, mfu 5.52%
iter 40: loss 2.8591, time 1191.86ms, mfu 5.51%
iter 41: loss 2.8220, time 1186.56ms, mfu 5.52%
iter 42: loss 2.8310, time 1190.74ms, mfu 5.51%
iter 43: loss 2.8674, time 1189.50ms, mfu 5.51%
iter 44: loss 2.8528, time 1190.61ms, mfu 5.51%
iter 45: loss 2.8493, time 1184.56ms, mfu 5.51%
iter 46: loss 2.8562, time 1192.70ms, mfu 5.51%
iter 47: loss 2.8272, time 1184.67ms, mfu 5.51%
iter 48: loss 2.8397, time 1191.07ms, mfu 5.51%
iter 49: loss 2.8398, time 1188.02ms, mfu 5.51%
iter 50: loss 2.8039, time 1192.21ms, mfu 5.51%
iter 51: loss 2.8233, time 1185.59ms, mfu 5.51%
iter 52: loss 2.7868, time 1191.18ms, mfu 5.51%
iter 53: loss 2.8105, time 1187.26ms, mfu 5.51%
iter 54: loss 2.7790, time 1189.61ms, mfu 5.51%
iter 55: loss 2.8025, time 1190.33ms, mfu 5.51%
iter 56: loss 2.7447, time 1191.11ms, mfu 5.51%
iter 57: loss 2.7748, time 1188.07ms, mfu 5.51%
iter 58: loss 2.8005, time 1191.93ms, mfu 5.51%
iter 59: loss 2.7090, time 1187.34ms, mfu 5.51%
iter 60: loss 2.6452, time 1193.58ms, mfu 5.51%
iter 61: loss 2.6768, time 1188.76ms, mfu 5.51%
iter 62: loss 2.7220, time 1191.09ms, mfu 5.51%
iter 63: loss 2.6811, time 1190.46ms, mfu 5.51%
iter 64: loss 2.6855, time 1189.56ms, mfu 5.51%
iter 65: loss 2.7029, time 1188.79ms, mfu 5.51%
iter 66: loss 2.6883, time 1192.48ms, mfu 5.51%
iter 67: loss 2.6814, time 1188.90ms, mfu 5.51%
iter 68: loss 2.6597, time 1190.09ms, mfu 5.51%
iter 69: loss 2.7344, time 1188.99ms, mfu 5.51%
iter 70: loss 2.6856, time 1193.41ms, mfu 5.50%
iter 71: loss 2.6261, time 1191.05ms, mfu 5.50%
iter 72: loss 2.6496, time 1191.01ms, mfu 5.50%
iter 73: loss 2.5829, time 1189.58ms, mfu 5.50%
iter 74: loss 2.5826, time 1193.04ms, mfu 5.50%
iter 75: loss 2.6591, time 1189.49ms, mfu 5.50%
iter 76: loss 2.5923, time 1192.22ms, mfu 5.50%
iter 77: loss 2.6232, time 1191.57ms, mfu 5.50%
iter 78: loss 2.5774, time 1191.14ms, mfu 5.50%
iter 79: loss 2.5718, time 1189.11ms, mfu 5.50%
iter 80: loss 2.5908, time 1194.40ms, mfu 5.50%
iter 81: loss 2.6090, time 1190.00ms, mfu 5.50%
iter 82: loss 2.5689, time 1189.04ms, mfu 5.50%
iter 83: loss 2.5512, time 1190.43ms, mfu 5.50%
iter 84: loss 2.4931, time 1190.20ms, mfu 5.50%
iter 85: loss 2.5675, time 1190.66ms, mfu 5.50%
iter 86: loss 2.5534, time 1192.78ms, mfu 5.50%
iter 87: loss 2.4654, time 1189.37ms, mfu 5.50%
iter 88: loss 2.5306, time 1192.77ms, mfu 5.50%
iter 89: loss 2.4760, time 1190.29ms, mfu 5.50%
iter 90: loss 2.5272, time 1190.23ms, mfu 5.50%
iter 91: loss 2.4445, time 1192.60ms, mfu 5.50%
iter 92: loss 2.4749, time 1189.28ms, mfu 5.50%
iter 93: loss 2.4823, time 1191.74ms, mfu 5.50%
iter 94: loss 2.4745, time 1192.57ms, mfu 5.50%
iter 95: loss 2.4469, time 1192.09ms, mfu 5.50%
iter 96: loss 2.4742, time 1193.10ms, mfu 5.50%
iter 97: loss 2.3780, time 1192.98ms, mfu 5.50%
iter 98: loss 2.4285, time 1191.41ms, mfu 5.50%
iter 99: loss 2.4712, time 1191.48ms, mfu 5.50%
iter 100: loss 2.3778, time 4542.82ms, mfu 5.09%
iter 101: loss 2.3921, time 1192.92ms, mfu 5.13%
iter 102: loss 2.5152, time 1195.89ms, mfu 5.17%
iter 103: loss 2.3892, time 1192.47ms, mfu 5.20%
iter 104: loss 2.4814, time 1193.94ms, mfu 5.23%
iter 105: loss 2.5236, time 1192.01ms, mfu 5.25%
iter 106: loss 2.4024, time 1191.00ms, mfu 5.28%
iter 107: loss 2.4569, time 1190.20ms, mfu 5.30%
iter 108: loss 2.3260, time 1191.38ms, mfu 5.32%
