
iter 0: loss 3.4156, time 12172.42ms, mfu -100.00%
iter 10: loss 2.6225, time 78.13ms, mfu 4.76%
iter 20: loss 2.4535, time 78.13ms, mfu 4.76%
iter 30: loss 2.4274, time 78.12ms, mfu 4.76%
iter 40: loss 2.4022, time 78.12ms, mfu 4.76%
iter 50: loss 2.3723, time 93.75ms, mfu 4.68%
iter 60: loss 2.3975, time 78.12ms, mfu 4.69%
iter 70: loss 2.3868, time 78.12ms, mfu 4.70%
iter 80: loss 2.3872, time 78.20ms, mfu 4.71%
iter 90: loss 2.3689, time 78.12ms, mfu 4.71%
iter 100: loss 2.3686, time 78.13ms, mfu 4.72%
iter 110: loss 2.3697, time 78.13ms, mfu 4.72%
iter 120: loss 2.3679, time 78.13ms, mfu 4.73%
iter 130: loss 2.3444, time 78.14ms, mfu 4.73%
iter 140: loss 2.3456, time 78.13ms, mfu 4.73%
iter 150: loss 2.3456, time 78.13ms, mfu 4.74%
iter 160: loss 2.3120, time 78.12ms, mfu 4.74%
iter 170: loss 2.2978, time 78.13ms, mfu 4.74%
iter 180: loss 2.2675, time 78.45ms, mfu 4.74%
iter 190: loss 2.2150, time 78.13ms, mfu 4.74%
iter 200: loss 2.1696, time 78.13ms, mfu 4.75%
iter 210: loss 2.1307, time 78.12ms, mfu 4.75%
iter 220: loss 2.1116, time 78.49ms, mfu 4.75%
iter 230: loss 2.0939, time 78.12ms, mfu 4.75%
iter 240: loss 2.0879, time 78.12ms, mfu 4.75%
iter 250: loss 2.0527, time 10192.74ms, mfu 4.28%
iter 260: loss 2.0361, time 78.13ms, mfu 4.33%
iter 270: loss 2.0135, time 78.13ms, mfu 4.37%
iter 280: loss 1.9873, time 78.13ms, mfu 4.41%
iter 290: loss 1.9852, time 78.12ms, mfu 4.45%
iter 300: loss 1.9615, time 78.12ms, mfu 4.48%
iter 310: loss 1.9426, time 78.12ms, mfu 4.51%
iter 320: loss 1.9479, time 93.75ms, mfu 4.45%
iter 330: loss 1.8963, time 78.13ms, mfu 4.48%
iter 340: loss 1.8879, time 78.12ms, mfu 4.51%
iter 350: loss 1.8653, time 78.12ms, mfu 4.54%
iter 360: loss 1.8697, time 78.12ms, mfu 4.56%
iter 370: loss 1.8287, time 93.75ms, mfu 4.50%
iter 380: loss 1.8335, time 93.75ms, mfu 4.45%
iter 390: loss 1.8399, time 78.13ms, mfu 4.48%
iter 400: loss 1.8218, time 78.13ms, mfu 4.51%
iter 410: loss 1.8430, time 78.51ms, mfu 4.53%
iter 420: loss 1.7838, time 78.12ms, mfu 4.55%
iter 430: loss 1.8050, time 78.12ms, mfu 4.58%
iter 440: loss 1.7944, time 93.77ms, mfu 4.51%
iter 450: loss 1.7584, time 93.75ms, mfu 4.46%
iter 460: loss 1.7347, time 78.13ms, mfu 4.49%
iter 470: loss 1.7701, time 78.12ms, mfu 4.52%
iter 480: loss 1.7323, time 78.13ms, mfu 4.54%
iter 490: loss 1.7407, time 78.12ms, mfu 4.56%
iter 500: loss 1.7363, time 10209.43ms, mfu 4.11%
iter 510: loss 1.7653, time 78.12ms, mfu 4.18%
iter 520: loss 1.7411, time 78.12ms, mfu 4.24%
iter 530: loss 1.6813, time 78.13ms, mfu 4.29%
iter 540: loss 1.6697, time 78.12ms, mfu 4.34%
iter 550: loss 1.6785, time 78.13ms, mfu 4.38%
iter 560: loss 1.6873, time 78.14ms, mfu 4.42%
iter 570: loss 1.6855, time 78.13ms, mfu 4.45%
iter 580: loss 1.6596, time 78.12ms, mfu 4.48%
iter 590: loss 1.6701, time 78.12ms, mfu 4.51%
iter 600: loss 1.6652, time 78.12ms, mfu 4.54%
iter 610: loss 1.6086, time 78.13ms, mfu 4.56%
iter 620: loss 1.6349, time 93.75ms, mfu 4.50%
iter 630: loss 1.6412, time 78.10ms, mfu 4.53%
iter 640: loss 1.6131, time 78.13ms, mfu 4.55%
iter 650: loss 1.6520, time 78.13ms, mfu 4.57%
iter 660: loss 1.5993, time 78.12ms, mfu 4.59%
iter 670: loss 1.5989, time 78.12ms, mfu 4.61%
iter 680: loss 1.6205, time 78.13ms, mfu 4.62%
iter 690: loss 1.5739, time 78.12ms, mfu 4.64%
iter 700: loss 1.5869, time 93.76ms, mfu 4.57%
iter 710: loss 1.6495, time 93.74ms, mfu 4.51%
iter 720: loss 1.5948, time 78.12ms, mfu 4.54%
iter 730: loss 1.5938, time 78.13ms, mfu 4.56%
iter 740: loss 1.6148, time 78.13ms, mfu 4.58%
iter 750: loss 1.5704, time 10267.39ms, mfu 4.13%
iter 760: loss 1.5895, time 78.13ms, mfu 4.19%
iter 770: loss 1.5380, time 78.12ms, mfu 4.25%
iter 780: loss 1.5262, time 93.75ms, mfu 4.22%
iter 790: loss 1.5700, time 78.12ms, mfu 4.27%
iter 800: loss 1.5455, time 78.12ms, mfu 4.32%
iter 810: loss 1.5105, time 78.13ms, mfu 4.37%
iter 820: loss 1.5680, time 78.11ms, mfu 4.41%
iter 830: loss 1.5592, time 93.74ms, mfu 4.36%
iter 840: loss 1.5011, time 78.12ms, mfu 4.40%
iter 850: loss 1.5175, time 78.12ms, mfu 4.44%
iter 860: loss 1.5356, time 78.12ms, mfu 4.47%
iter 870: loss 1.5198, time 78.12ms, mfu 4.50%
iter 880: loss 1.5154, time 78.13ms, mfu 4.53%
iter 890: loss 1.5112, time 78.13ms, mfu 4.55%
iter 900: loss 1.5077, time 78.12ms, mfu 4.57%
iter 910: loss 1.5336, time 93.72ms, mfu 4.51%
iter 920: loss 1.4771, time 93.76ms, mfu 4.46%
iter 930: loss 1.5064, time 78.12ms, mfu 4.49%
iter 940: loss 1.5011, time 78.13ms, mfu 4.52%
iter 950: loss 1.5132, time 78.13ms, mfu 4.54%
iter 960: loss 1.4842, time 78.12ms, mfu 4.56%
iter 970: loss 1.4513, time 78.12ms, mfu 4.58%
iter 980: loss 1.4627, time 78.12ms, mfu 4.60%
iter 990: loss 1.4856, time 78.12ms, mfu 4.62%
iter 1000: loss 1.4660, time 10301.52ms, mfu 4.16%
iter 1010: loss 1.4488, time 78.13ms, mfu 4.22%
iter 1020: loss 1.4600, time 78.12ms, mfu 4.27%
iter 1030: loss 1.4490, time 93.76ms, mfu 4.24%
iter 1040: loss 1.4704, time 83.65ms, mfu 4.26%
iter 1050: loss 1.4878, time 84.59ms, mfu 4.28%
iter 1060: loss 1.4571, time 84.04ms, mfu 4.29%
iter 1070: loss 1.4618, time 84.07ms, mfu 4.31%
iter 1080: loss 1.4278, time 84.99ms, mfu 4.31%
iter 1090: loss 1.4604, time 80.33ms, mfu 4.35%
iter 1100: loss 1.4441, time 80.68ms, mfu 4.37%
iter 1110: loss 1.4365, time 80.61ms, mfu 4.40%
iter 1120: loss 1.4420, time 80.36ms, mfu 4.42%
iter 1130: loss 1.4188, time 80.45ms, mfu 4.44%
iter 1140: loss 1.4457, time 80.42ms, mfu 4.46%
iter 1150: loss 1.4155, time 80.78ms, mfu 4.47%
iter 1160: loss 1.4105, time 80.26ms, mfu 4.49%
iter 1170: loss 1.4196, time 84.02ms, mfu 4.48%
iter 1180: loss 1.4265, time 78.84ms, mfu 4.51%
iter 1190: loss 1.4281, time 84.20ms, mfu 4.50%
iter 1200: loss 1.4256, time 84.20ms, mfu 4.49%
iter 1210: loss 1.4266, time 84.34ms, mfu 4.48%
iter 1220: loss 1.3989, time 84.79ms, mfu 4.47%
iter 1230: loss 1.4166, time 84.11ms, mfu 4.47%
iter 1240: loss 1.4373, time 84.32ms, mfu 4.46%
iter 1250: loss 1.3972, time 10306.71ms, mfu 4.02%
iter 1260: loss 1.4249, time 84.34ms, mfu 4.06%
iter 1270: loss 1.3903, time 85.20ms, mfu 4.09%
iter 1280: loss 1.4152, time 75.21ms, mfu 4.18%
iter 1290: loss 1.4128, time 90.22ms, mfu 4.17%
iter 1300: loss 1.3567, time 75.33ms, mfu 4.25%
iter 1310: loss 1.4133, time 90.34ms, mfu 4.24%
iter 1320: loss 1.3761, time 75.49ms, mfu 4.30%
iter 1330: loss 1.4215, time 75.11ms, mfu 4.37%
iter 1340: loss 1.4017, time 75.21ms, mfu 4.43%
iter 1350: loss 1.4010, time 75.33ms, mfu 4.48%
iter 1360: loss 1.4051, time 90.33ms, mfu 4.44%
iter 1370: loss 1.3700, time 82.26ms, mfu 4.45%
iter 1380: loss 1.4070, time 75.30ms, mfu 4.50%
iter 1390: loss 1.3873, time 75.13ms, mfu 4.55%
iter 1400: loss 1.4018, time 75.21ms, mfu 4.59%
iter 1410: loss 1.3813, time 90.21ms, mfu 4.54%
iter 1420: loss 1.3906, time 75.44ms, mfu 4.58%
iter 1430: loss 1.3387, time 78.86ms, mfu 4.59%
iter 1440: loss 1.3641, time 73.73ms, mfu 4.64%
iter 1450: loss 1.3767, time 78.72ms, mfu 4.65%
iter 1460: loss 1.3832, time 78.84ms, mfu 4.65%
iter 1470: loss 1.3156, time 78.83ms, mfu 4.66%
iter 1480: loss 1.4160, time 78.83ms, mfu 4.67%
iter 1490: loss 1.4046, time 78.83ms, mfu 4.67%
iter 1500: loss 1.3767, time 10318.07ms, mfu 4.21%
iter 1510: loss 1.3785, time 95.82ms, mfu 4.18%
