
iter 0: loss 7.4320, time 10319.77ms, mfu -100.00%
iter 1: loss 3.9709, time 1164.56ms, mfu -100.00%
iter 2: loss 5.5436, time 1180.77ms, mfu -100.00%
iter 3: loss 3.8427, time 1177.67ms, mfu -100.00%
iter 4: loss 3.4794, time 1183.91ms, mfu -100.00%
iter 5: loss 3.2604, time 1182.50ms, mfu 5.54%
iter 6: loss 3.1187, time 1184.96ms, mfu 5.54%
iter 7: loss 3.0824, time 1183.07ms, mfu 5.54%
iter 8: loss 3.0314, time 1185.41ms, mfu 5.54%
iter 9: loss 2.9670, time 1184.92ms, mfu 5.54%
iter 10: loss 2.9636, time 1184.74ms, mfu 5.54%
iter 11: loss 2.9234, time 1195.63ms, mfu 5.53%
iter 12: loss 2.9068, time 1187.38ms, mfu 5.53%
iter 13: loss 2.9008, time 1183.61ms, mfu 5.53%
iter 14: loss 2.9095, time 1192.03ms, mfu 5.53%
iter 15: loss 2.9261, time 1186.02ms, mfu 5.53%
iter 16: loss 2.8856, time 1187.21ms, mfu 5.52%
iter 17: loss 2.8391, time 1194.75ms, mfu 5.52%
iter 18: loss 2.8840, time 1192.99ms, mfu 5.52%
iter 19: loss 2.9115, time 1187.09ms, mfu 5.52%
iter 20: loss 2.9044, time 1191.97ms, mfu 5.52%
iter 21: loss 2.8148, time 1190.63ms, mfu 5.51%
iter 22: loss 2.8641, time 1193.23ms, mfu 5.51%
iter 23: loss 2.8868, time 1192.68ms, mfu 5.51%
iter 24: loss 2.8928, time 1189.56ms, mfu 5.51%
iter 25: loss 2.8578, time 1186.44ms, mfu 5.51%
iter 26: loss 2.9092, time 1191.23ms, mfu 5.51%
iter 27: loss 2.8709, time 1189.99ms, mfu 5.51%
iter 28: loss 2.8467, time 1191.71ms, mfu 5.51%
iter 29: loss 2.8834, time 1192.73ms, mfu 5.51%
iter 30: loss 2.8913, time 1190.98ms, mfu 5.51%
iter 31: loss 2.8943, time 1187.61ms, mfu 5.51%
iter 32: loss 2.8912, time 1191.49ms, mfu 5.51%
iter 33: loss 2.8834, time 1188.07ms, mfu 5.51%
iter 34: loss 2.8897, time 1188.63ms, mfu 5.51%
iter 35: loss 2.8054, time 1187.21ms, mfu 5.51%
iter 36: loss 2.8865, time 1191.66ms, mfu 5.51%
iter 37: loss 2.8630, time 1186.29ms, mfu 5.51%
iter 38: loss 2.8455, time 1192.92ms, mfu 5.51%
iter 39: loss 2.8374, time 1192.00ms, mfu 5.51%
iter 40: loss 2.8912, time 1193.04ms, mfu 5.50%
iter 41: loss 2.8750, time 1189.27ms, mfu 5.50%
iter 42: loss 2.8777, time 1194.31ms, mfu 5.50%
iter 43: loss 2.8482, time 1189.36ms, mfu 5.50%
iter 44: loss 2.8723, time 1191.49ms, mfu 5.50%
iter 45: loss 2.8812, time 1205.53ms, mfu 5.50%
iter 46: loss 2.8800, time 1202.09ms, mfu 5.49%
iter 47: loss 2.8494, time 1200.21ms, mfu 5.49%
iter 48: loss 2.8561, time 1203.30ms, mfu 5.48%
iter 49: loss 2.8326, time 1191.84ms, mfu 5.48%
iter 50: loss 2.8825, time 1189.34ms, mfu 5.49%
iter 51: loss 2.8053, time 1190.79ms, mfu 5.49%
iter 52: loss 2.8588, time 1191.16ms, mfu 5.49%
iter 53: loss 2.8314, time 1191.34ms, mfu 5.49%
iter 54: loss 2.8260, time 1192.69ms, mfu 5.49%
iter 55: loss 2.7981, time 1189.62ms, mfu 5.49%
iter 56: loss 2.8506, time 1194.57ms, mfu 5.49%
iter 57: loss 2.8305, time 1189.94ms, mfu 5.49%
iter 58: loss 2.7931, time 1191.38ms, mfu 5.49%
iter 59: loss 2.7915, time 1191.12ms, mfu 5.49%
