
iter 0: loss 3.4024, time 14103.56ms, mfu -100.00%
iter 10: loss 2.6678, time 73.80ms, mfu 5.04%
iter 20: loss 2.5123, time 73.80ms, mfu 5.04%
iter 30: loss 2.4528, time 73.80ms, mfu 5.04%
iter 40: loss 2.4404, time 72.81ms, mfu 5.05%
iter 50: loss 2.4419, time 74.80ms, mfu 5.04%
iter 60: loss 2.4229, time 73.80ms, mfu 5.04%
iter 70: loss 2.4209, time 72.81ms, mfu 5.05%
iter 80: loss 2.4200, time 72.81ms, mfu 5.06%
iter 90: loss 2.4243, time 75.80ms, mfu 5.04%
iter 100: loss 2.3991, time 73.80ms, mfu 5.04%
iter 110: loss 2.3947, time 72.79ms, mfu 5.05%
iter 120: loss 2.3822, time 72.80ms, mfu 5.05%
iter 130: loss 2.3904, time 72.81ms, mfu 5.06%
iter 140: loss 2.3796, time 72.80ms, mfu 5.07%
iter 150: loss 2.3680, time 72.81ms, mfu 5.07%
iter 160: loss 2.3302, time 72.81ms, mfu 5.07%
iter 170: loss 2.2928, time 73.80ms, mfu 5.07%
iter 180: loss 2.2453, time 72.81ms, mfu 5.08%
iter 190: loss 2.1608, time 73.80ms, mfu 5.07%
iter 200: loss 2.1256, time 72.81ms, mfu 5.08%
iter 210: loss 2.0613, time 72.78ms, mfu 5.08%
iter 220: loss 2.0412, time 72.81ms, mfu 5.08%
iter 230: loss 2.0097, time 72.84ms, mfu 5.09%
iter 240: loss 1.9633, time 72.81ms, mfu 5.09%
iter 250: loss 1.9187, time 10090.61ms, mfu 4.58%
iter 260: loss 1.9083, time 74.80ms, mfu 4.62%
iter 270: loss 1.8804, time 74.80ms, mfu 4.66%
iter 280: loss 1.8162, time 82.78ms, mfu 4.64%
iter 290: loss 1.7837, time 79.76ms, mfu 4.64%
iter 300: loss 1.7334, time 76.79ms, mfu 4.66%
iter 310: loss 1.7397, time 74.80ms, mfu 4.70%
iter 320: loss 1.7125, time 74.80ms, mfu 4.72%
iter 330: loss 1.7203, time 72.81ms, mfu 4.76%
iter 340: loss 1.6929, time 73.79ms, mfu 4.79%
iter 350: loss 1.6768, time 72.80ms, mfu 4.82%
iter 360: loss 1.6434, time 77.82ms, mfu 4.82%
iter 370: loss 1.6822, time 84.80ms, mfu 4.78%
iter 380: loss 1.6311, time 74.80ms, mfu 4.80%
iter 390: loss 1.6329, time 73.80ms, mfu 4.82%
iter 400: loss 1.5978, time 80.78ms, mfu 4.80%
iter 410: loss 1.6133, time 79.81ms, mfu 4.79%
iter 420: loss 1.5962, time 85.77ms, mfu 4.74%
iter 430: loss 1.5688, time 72.81ms, mfu 4.78%
iter 440: loss 1.5464, time 72.81ms, mfu 4.81%
iter 450: loss 1.5624, time 72.80ms, mfu 4.84%
iter 460: loss 1.5637, time 72.81ms, mfu 4.87%
iter 470: loss 1.4973, time 72.80ms, mfu 4.89%
iter 480: loss 1.5284, time 72.81ms, mfu 4.91%
iter 490: loss 1.4903, time 72.81ms, mfu 4.93%
iter 500: loss 1.5082, time 9962.62ms, mfu 4.44%
iter 510: loss 1.4959, time 72.83ms, mfu 4.51%
iter 520: loss 1.4754, time 72.81ms, mfu 4.57%
iter 530: loss 1.4640, time 72.81ms, mfu 4.63%
iter 540: loss 1.4603, time 72.81ms, mfu 4.67%
iter 550: loss 1.4809, time 72.81ms, mfu 4.72%
iter 560: loss 1.4506, time 72.82ms, mfu 4.76%
