
iter 0: loss 6.9989, time 7521.17ms, mfu -100.00%
iter 1: loss 3.9613, time 1098.12ms, mfu -100.00%
iter 2: loss 5.4214, time 1130.68ms, mfu -100.00%
iter 3: loss 3.8989, time 1146.50ms, mfu -100.00%
iter 4: loss 3.5183, time 1136.46ms, mfu -100.00%
iter 5: loss 3.3479, time 1158.65ms, mfu 5.65%
iter 6: loss 3.1200, time 1129.70ms, mfu 5.67%
iter 7: loss 3.0450, time 1130.56ms, mfu 5.68%
iter 8: loss 2.9844, time 1143.47ms, mfu 5.69%
iter 9: loss 2.9597, time 1167.22ms, mfu 5.68%
iter 10: loss 2.9377, time 1131.34ms, mfu 5.69%
iter 11: loss 2.8914, time 1141.81ms, mfu 5.69%
iter 12: loss 2.8854, time 1129.77ms, mfu 5.70%
iter 13: loss 2.8938, time 1129.15ms, mfu 5.71%
iter 14: loss 2.9395, time 1138.38ms, mfu 5.72%
iter 15: loss 2.8664, time 1146.08ms, mfu 5.72%
iter 16: loss 2.8738, time 1145.57ms, mfu 5.72%
iter 17: loss 2.9212, time 1131.20ms, mfu 5.73%
iter 18: loss 2.8574, time 1129.43ms, mfu 5.73%
iter 19: loss 2.8408, time 1129.23ms, mfu 5.74%
iter 20: loss 2.9275, time 1146.92ms, mfu 5.74%
iter 21: loss 2.8931, time 1139.86ms, mfu 5.74%
iter 22: loss 2.8512, time 1147.76ms, mfu 5.73%
iter 23: loss 2.8580, time 1131.77ms, mfu 5.74%
iter 24: loss 2.8389, time 1145.06ms, mfu 5.74%
iter 25: loss 2.8223, time 1140.16ms, mfu 5.74%
iter 26: loss 2.8475, time 1143.84ms, mfu 5.74%
iter 27: loss 2.8460, time 1131.93ms, mfu 5.74%
iter 28: loss 2.8376, time 1165.36ms, mfu 5.73%
iter 29: loss 2.8673, time 1136.76ms, mfu 5.73%
iter 30: loss 2.8903, time 1147.46ms, mfu 5.73%
iter 31: loss 2.8394, time 1149.34ms, mfu 5.73%
iter 32: loss 2.8430, time 1159.95ms, mfu 5.72%
iter 33: loss 2.8830, time 1145.18ms, mfu 5.72%
iter 34: loss 2.8426, time 1171.93ms, mfu 5.71%
iter 35: loss 2.8253, time 1169.07ms, mfu 5.70%
iter 36: loss 2.8711, time 1171.20ms, mfu 5.69%
iter 37: loss 2.8058, time 1175.93ms, mfu 5.67%
