
iter 0: loss 7.4420, time 7118.43ms, mfu -100.00%
iter 1: loss 3.9705, time 1098.25ms, mfu -100.00%
iter 2: loss 5.5496, time 1129.81ms, mfu -100.00%
iter 3: loss 3.8362, time 1129.47ms, mfu -100.00%
iter 4: loss 3.4791, time 1129.96ms, mfu -100.00%
iter 5: loss 3.2588, time 1129.68ms, mfu 5.80%
iter 6: loss 3.1137, time 1129.97ms, mfu 5.80%
iter 7: loss 3.0826, time 1129.28ms, mfu 5.80%
iter 8: loss 3.0303, time 1128.73ms, mfu 5.80%
iter 9: loss 2.9666, time 1129.13ms, mfu 5.80%
iter 10: loss 2.9638, time 1129.24ms, mfu 5.80%
iter 11: loss 2.9232, time 1144.37ms, mfu 5.79%
iter 12: loss 2.9069, time 1130.47ms, mfu 5.79%
iter 13: loss 2.9010, time 1130.18ms, mfu 5.79%
iter 14: loss 2.9100, time 1130.59ms, mfu 5.79%
iter 15: loss 2.9263, time 1131.75ms, mfu 5.79%
iter 16: loss 2.8859, time 1131.21ms, mfu 5.79%
iter 17: loss 2.8390, time 1130.73ms, mfu 5.79%
iter 18: loss 2.8842, time 1129.75ms, mfu 5.79%
iter 19: loss 2.9118, time 1132.16ms, mfu 5.79%
iter 20: loss 2.9044, time 1134.42ms, mfu 5.79%
iter 21: loss 2.8146, time 1126.99ms, mfu 5.79%
iter 22: loss 2.8646, time 1131.40ms, mfu 5.79%
iter 23: loss 2.8860, time 1131.33ms, mfu 5.79%
iter 24: loss 2.8932, time 1144.89ms, mfu 5.78%
iter 25: loss 2.8576, time 1130.23ms, mfu 5.79%
iter 26: loss 2.9102, time 1128.84ms, mfu 5.79%
iter 27: loss 2.8720, time 1131.90ms, mfu 5.79%
iter 28: loss 2.8478, time 1161.90ms, mfu 5.77%
iter 29: loss 2.8823, time 1125.07ms, mfu 5.78%
iter 30: loss 2.8948, time 1146.33ms, mfu 5.77%
iter 31: loss 2.8949, time 1130.17ms, mfu 5.77%
iter 32: loss 2.8883, time 1149.04ms, mfu 5.77%
iter 33: loss 2.8833, time 1130.74ms, mfu 5.77%
iter 34: loss 2.8855, time 1145.34ms, mfu 5.76%
iter 35: loss 2.8054, time 1129.76ms, mfu 5.77%
iter 36: loss 2.8815, time 1146.45ms, mfu 5.76%
iter 37: loss 2.8624, time 1129.85ms, mfu 5.77%
iter 38: loss 2.8441, time 1130.82ms, mfu 5.77%
iter 39: loss 2.8373, time 1161.00ms, mfu 5.76%
iter 40: loss 2.8846, time 1145.96ms, mfu 5.75%
iter 41: loss 2.8647, time 1141.56ms, mfu 5.75%
iter 42: loss 2.8737, time 1130.10ms, mfu 5.76%
iter 43: loss 2.8417, time 1161.81ms, mfu 5.74%
iter 44: loss 2.8700, time 1129.03ms, mfu 5.75%
iter 45: loss 2.8908, time 1130.21ms, mfu 5.75%
iter 46: loss 2.8799, time 1144.99ms, mfu 5.75%
iter 47: loss 2.8537, time 1145.91ms, mfu 5.75%
iter 48: loss 2.8506, time 1161.25ms, mfu 5.74%
iter 49: loss 2.8352, time 1177.99ms, mfu 5.72%
iter 50: loss 2.8853, time 1176.51ms, mfu 5.70%
iter 51: loss 2.8015, time 1161.61ms, mfu 5.70%
iter 52: loss 2.8539, time 1176.91ms, mfu 5.68%
iter 53: loss 2.8232, time 1130.39ms, mfu 5.70%
iter 54: loss 2.8215, time 1145.47ms, mfu 5.70%
iter 55: loss 2.7931, time 1161.06ms, mfu 5.69%
iter 56: loss 2.8309, time 1176.21ms, mfu 5.68%
iter 57: loss 2.8177, time 1145.12ms, mfu 5.68%
iter 58: loss 2.7791, time 1161.16ms, mfu 5.68%
iter 59: loss 2.7572, time 1128.79ms, mfu 5.69%
iter 60: loss 2.7885, time 1144.61ms, mfu 5.70%
iter 61: loss 2.8249, time 1161.14ms, mfu 5.69%
iter 62: loss 2.7643, time 1160.45ms, mfu 5.69%
iter 63: loss 2.8977, time 1161.18ms, mfu 5.68%
iter 64: loss 2.8219, time 1192.14ms, mfu 5.66%
iter 65: loss 2.7459, time 1177.23ms, mfu 5.65%
iter 66: loss 2.7228, time 1160.48ms, mfu 5.65%
iter 67: loss 2.7268, time 1178.72ms, mfu 5.64%
iter 68: loss 2.7143, time 1129.51ms, mfu 5.66%
iter 69: loss 2.7296, time 1145.67ms, mfu 5.66%
iter 70: loss 2.7224, time 1160.99ms, mfu 5.66%
iter 71: loss 2.7646, time 1176.81ms, mfu 5.65%
iter 72: loss 2.6684, time 1177.00ms, mfu 5.64%
iter 73: loss 2.6960, time 1129.59ms, mfu 5.66%
iter 74: loss 2.7159, time 1130.26ms, mfu 5.67%
iter 75: loss 2.7289, time 1146.45ms, mfu 5.68%
iter 76: loss 2.6022, time 1145.94ms, mfu 5.68%
iter 77: loss 2.5925, time 1162.05ms, mfu 5.68%
iter 78: loss 2.5805, time 1166.60ms, mfu 5.67%
iter 79: loss 2.6472, time 1171.27ms, mfu 5.66%
iter 80: loss 2.5899, time 1162.19ms, mfu 5.66%
iter 81: loss 2.6248, time 1144.98ms, mfu 5.67%
iter 82: loss 2.6334, time 1130.84ms, mfu 5.68%
iter 83: loss 2.5326, time 1162.74ms, mfu 5.67%
iter 84: loss 2.5740, time 1168.58ms, mfu 5.67%
iter 85: loss 2.5868, time 1178.50ms, mfu 5.66%
iter 86: loss 2.6314, time 1146.99ms, mfu 5.66%
iter 87: loss 2.5284, time 1162.54ms, mfu 5.66%
iter 88: loss 2.5216, time 1162.20ms, mfu 5.66%
iter 89: loss 2.5597, time 1177.34ms, mfu 5.65%
iter 90: loss 2.5512, time 1130.13ms, mfu 5.66%
iter 91: loss 2.4800, time 1145.81ms, mfu 5.67%
iter 92: loss 2.6128, time 1176.95ms, mfu 5.66%
iter 93: loss 2.5952, time 1180.22ms, mfu 5.65%
iter 94: loss 2.5037, time 1146.41ms, mfu 5.65%
iter 95: loss 2.5288, time 1145.29ms, mfu 5.66%
iter 96: loss 2.5299, time 1147.22ms, mfu 5.67%
iter 97: loss 2.4984, time 1145.58ms, mfu 5.67%
iter 98: loss 2.5218, time 1145.72ms, mfu 5.68%
iter 99: loss 2.4767, time 1177.61ms, mfu 5.66%
iter 100: loss 2.5390, time 4163.00ms, mfu 5.25%
iter 101: loss 2.5465, time 1162.46ms, mfu 5.29%
iter 102: loss 2.5297, time 1129.66ms, mfu 5.34%
iter 103: loss 2.4680, time 1165.82ms, mfu 5.37%
iter 104: loss 2.4104, time 1138.12ms, mfu 5.41%
iter 105: loss 2.5963, time 1145.28ms, mfu 5.44%
iter 106: loss 2.4505, time 1161.05ms, mfu 5.46%
iter 107: loss 2.4889, time 1161.12ms, mfu 5.48%
iter 108: loss 2.3759, time 1146.14ms, mfu 5.50%
iter 109: loss 2.5041, time 1146.26ms, mfu 5.52%
iter 110: loss 2.4174, time 1161.12ms, mfu 5.54%
iter 111: loss 2.4071, time 1161.57ms, mfu 5.55%
